timestamp,Heidelberg,Bamberg,Eberbach
2023-03-06 14:25:30.337646,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:27:07.750873,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:27:52.433801,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:29:27.266497,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:30:37.751550,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:32:26.741711,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:33:27.139849,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:35:03.537543,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:36:51.948978,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:40:15.917047,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:42:10.831924,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:42:32.715881,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:45:01.417537,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:45:24.343352,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:46:37.527900,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:54:37.023735,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:54:59.743615,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:55:54.443364,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
